step;reactionNumber;koNumber;ecNumber;compNumber;glycanNumber
1;[R00315];[K00925];[2.7.2.1, 2.7.2.15];[C00002, C00008, C00033, C00227];[]
2;[R00230];[K00625, K04020, K13788, K15024];[2.3.1.8];[C00009, C00010, C00024, C00227];[]
3;[R00235];[K01895, K01913];[6.2.1.1];[C00002, C00010, C00013, C00020, C00024, C00033];[]
4;[R09096];[K00193, K00194, K00197];[];[C00010, C00024, C00237, C01217, C04488];[]
5;[R04347];[K00577, K00578, K00579, K00580, K00581, K00582, K00583, K00584];[2.1.1.86];[C01217, C01330, C01330, C03576, C03920, C04488];[]
6;[R04541];[K00399, K00401, K00402];[2.8.4.1];[C01438, C03920, C04628, C04832];[]
7;[R11931];[K03388, K03389, K03390, K22480, K22481, K22482];[1.8.7.3];[C00080, C00138, C00139, C03576, C04628, C04832];[]
8;[R04540];[K08264, K08265];[1.8.98.1];[C03576, C04628, C04832, C11903, C11904];[]
9;[R11928];[K03388, K03389, K03390];[1.8.98.4];[C00080, C00138, C00139, C00876, C01080, C03576, C04628, C04832];[]
10;[R11943];[K03388, K03389, K03390, K14126, K14127, K14128];[1.8.98.5];[C00080, C00138, C00139, C00282, C03576, C04628, C04832];[]
11;[R11944];[K00125, K03388, K03389, K03390, K14127, K22516];[1.8.98.6];[C00011, C00058, C00080, C00138, C00139, C03576, C04628, C04832];[]
