step;reactionNumber;koNumber;ecNumber;compNumber;glycanNumber
1;[R00715];[K00290];[1.5.1.7];[C00001, C00003, C00004, C00026, C00047, C00080, C00449];[]
2;[R00716];[K14157];[1.5.1.8];[C00001, C00005, C00006, C00026, C00047, C00080, C00449];[]
3;[R02313];[K14157];[1.5.1.9];[C00001, C00003, C00004, C00025, C00080, C00449, C04076];[]
4;[R02315];[K00293, K24034];[1.5.1.10];[C00001, C00005, C00006, C00025, C00080, C00449, C04076];[]
5;[R03102];[K14085];[1.2.1.31];[C00001, C00003, C00004, C00080, C00956, C04076];[]
6;[R03103];[K14085];[1.2.1.31];[C00001, C00005, C00006, C00080, C00956, C04076];[]
7;[R01939];[K00825, K00838, K05825];[2.6.1.39];[C00025, C00026, C00322, C00956];[]
8;[R01933];[K00382, K00658, K15791];[1.2.4.2, 1.8.1.4, 2.3.1.61];[C00003, C00004, C00010, C00011, C00080, C00322, C00527];[]
9;[R02488];[K00252];[1.3.8.6];[C00011, C00527, C00877, C04253, C04570];[]
10;[R03026];[K01692, K01715, K01782, K01825, K07511, K07514, K07515, K10527, K13767, K15016];[4.2.1.17];[C00001, C00877, C01144];[]
11;[R01975];[K00022, K01782, K01825, K07514, K07516, K10527, K15016];[1.1.1.35];[C00003, C00004, C00080, C00332, C01144];[]
