step;reactionNumber;koNumber;ecNumber;compNumber;glycanNumber
1;[R00742];[K01946, K01961, K01962, K01963, K01964, K02160, K11262, K11263, K15036, K15037, K18472, K18603, K18604, K18605, K19312, K22568];[6.4.1.2];[C00002, C00008, C00009, C00024, C00083, C00288];[]
2;[R00740];[K14468, K15017];[1.2.1.75];[C00005, C00006, C00010, C00080, C00083, C00222];[]
3;[R09289];[K09019, K14468, K15039, K16066, K18602];[1.1.1.298];[C00005, C00006, C00080, C00222, C01013];[]
4;[R09286];[K14469, K15018];[6.2.1.36];[C00002, C00010, C00013, C00020, C01013, C05668];[]
5;[R03045];[K01692, K01782, K01825, K07511, K07514, K07515, K14469, K14729, K15019];[4.2.1.116, 4.2.1.17];[C00001, C00894, C05668];[]
6;[R00919];[K14469, K15020, K19745];[1.3.1.84];[C00005, C00006, C00080, C00100, C00894];[]
7;[R01859];[K01964, K01965, K01966, K11263, K15036, K15037, K15052, K18472, K18603, K18604, K18605, K19312, K22568];[6.4.1.3];[C00002, C00008, C00009, C00100, C00288, C00683];[]
8;[R02765];[K05606];[5.1.99.1];[C00683, C01213];[]
9;[R00833];[K01847, K01848, K01849];[5.4.99.2];[C00091, C01213];[]
10;[R09280];[K15017, K15038, K18119];[1.2.1.76];[C00005, C00006, C00010, C00080, C00091, C00232];[]
11;[R09281];[K14465, K18121];[];[C00005, C00006, C00080, C00232, C00989];[]
12;[R09279];[K14466, K14467, K18861];[6.2.1.40];[C00002, C00010, C00013, C00020, C00989, C11062];[]
13;[R10782];[K14534];[4.2.1.120];[C00001, C00877, C11062];[]
14;[R03026];[K01692, K01715, K01782, K01825, K07511, K07514, K07515, K10527, K13767, K15016];[4.2.1.17];[C00001, C00877, C01144];[]
15;[R01975];[K00022, K01782, K01825, K07514, K07516, K10527, K15016];[1.1.1.35];[C00003, C00004, C00080, C00332, C01144];[]
16;[R00238];[K00626, K00632, K07508, K07509, K07513];[2.3.1.16, 2.3.1.9];[C00010, C00024, C00332];[]
