step;reactionNumber;koNumber;ecNumber;compNumber;glycanNumber
1;[R00177];[K00789];[2.5.1.6];[C00001, C00002, C00009, C00013, C00019, C00073];[]
2;[R00178];[K01611];[4.1.1.50];[C00011, C00019, C00080, C01137];[]
3;[R01920];[K00797, K24034];[2.5.1.16];[C00134, C00170, C00315, C01137];[]
4;[R01401];[K01243, K01244, K18284];[3.2.2.16, 3.2.2.9];[C00001, C00147, C00170, C03089];[]
5;[R04143];[K00899];[2.7.1.100];[C00002, C00008, C03089, C04188];[]
6;[R01402];[K00772];[2.4.2.28];[C00009, C00147, C00170, C04188];[]
7;[R04420];[K08963];[5.3.1.23];[C04188, C04582];[]
8;[R07392];[K08964, K16054];[4.2.1.109];[C00001, C04582, C15650];[]
9;[R07393];[K08965];[3.1.3.77, 5.3.2.5];[C15650, C15651];[]
10;[R07394];[K08966];[3.1.3.77, 3.1.3.87];[C00001, C00009, C15606, C15651];[]
11;[R07395];[K09880, K16054];[3.1.3.77];[C00001, C00009, C15606, C15650];[]
12;[R07364];[K08967];[1.13.11.54];[C00007, C00058, C01180, C15606];[]
13;[R07396];[K00815, K00832];[2.6.1.5, 2.6.1.57];[C00025, C00026, C00073, C01180];[]
14;[R12507];[K08969, K23977];[2.6.1.117];[C00064, C00073, C00940, C01180];[]
