step;reactionNumber;koNumber;ecNumber;compNumber;glycanNumber
1;[R00428];[K01495, K09007, K22391];[3.5.4.16];[C00001, C00044, C05922];[]
2;[R05046];[K01495, K09007, K22391];[3.5.4.16];[C00001, C00058, C05922, C05923];[]
3;[R05048];[K01495, K09007, K22391];[3.5.4.16];[C05923, C06148];[]
4;[R04639];[K01495, K09007, K22391];[3.5.4.16];[C00001, C04895, C06148];[]
5;[R11719];[K22101];[4.1.2.60];[C01300, C04895, C21615];[]
6;[R03503];[K00950, K07142, K13939, K13940, K13941];[2.7.6.3];[C00002, C00020, C01300, C04807];[]
7;[R03066];[K00796, K13939, K13941, K18824, K18825, K18974, K24102];[2.5.1.15];[C00001, C00568, C00921, C01300];[]
8;[R03067];[K00796, K13939, K13941, K18824, K18825, K18974, K24102];[2.5.1.15];[C00013, C00568, C00921, C04807];[]
9;[R02237];[K01930, K11754, K20457, K22099, K24102];[6.3.2.12, 6.3.2.17];[C00002, C00008, C00009, C00025, C00415, C00921];[]
10;[R00936];[K00287, K13938, K13998, K18589, K18590, K18591, K19643, K19644, K19645];[1.5.1.3];[C00003, C00004, C00080, C00101, C00415];[]
11;[R00939];[K00287, K13938, K13998, K18589, K18590, K18591, K19643, K19644, K19645];[1.5.1.3];[C00005, C00006, C00080, C00101, C00415];[]
