step;reactionNumber;koNumber;ecNumber;compNumber;glycanNumber
1;[R09258];[K05551, K05552, K05553];[];[C00010, C00011, C00083, C00229, C12348];[]
2;[R09259];[K05551, K05552, K05553];[];[C12348, C18327];[]
3;[R09262];[K12420];[];[C00005, C00006, C00080, C18327, C18328];[]
4;[R09265];[K05554];[];[C00001, C18328, C18329];[]
5;[R09305];[K05555];[];[C00001, C18329, C18353];[]
6;[R11516];[K05551, K05552, K05553];[2.3.1.260];[C00010, C00011, C00083, C12441, C21430];[]
7;[R06642];[K12420];[];[C00005, C00006, C00080, C12441, C12442];[]
8;[R09187];[K14249];[];[C00001, C12442, C18293];[]
9;[R09188];[K14250];[];[C18293, C18294];[]
10;[R06643];[K05551, K05552, K05553];[2.3.1.235];[C00010, C00011, C00083, C00229, C12354];[]
11;[R09260];[];[];[C12354, C18330];[]
12;[R09263];[K12420];[];[C00005, C00006, C00080, C18330, C18331];[]
13;[R09266];[K15884];[];[C00001, C18331, C18332];[]
14;[R09325];[K14250];[];[C18332, C18629];[]
15;[R09268];[K15885];[];[C00001, C12354, C18336];[]
16;[R09350];[K14250];[];[C18336, C18709];[]
17;[R09269];[K15886];[2.3.1.235];[C00001, C12354, C18337];[]
