step;reactionNumber;koNumber;ecNumber;compNumber;glycanNumber
1;[R02065];[K02291, K17841];[2.5.1.148, 2.5.1.32];[C00013, C00353, C03427];[]
2;[R04218];[K02291, K17841];[2.5.1.32];[C00013, C03427, C05421];[]
3;[R09653];[K02293];[1.3.5.5];[C02061, C05421, C16693, C19765];[]
4;[R09654];[K02293];[1.3.5.5];[C02061, C16693, C19764, C19765];[]
5;[R09655];[K15744];[5.2.1.12];[C15857, C19764];[]
6;[R09656];[K00514];[1.3.5.6];[C15602, C15603, C15857, C19759];[]
7;[R09658];[K00514];[1.3.5.6];[C15602, C15603, C15858, C19759];[]
8;[R07512];[K09835];[5.2.1.13];[C05432, C15858];[]
9;[R05341];[K06443, K14605, K14606, K17841, K22502];[5.5.1.19];[C05432, C05435];[]
10;[R03824];[K06443, K14605, K14606, K17841, K22502];[5.5.1.19];[C02094, C05435];[]
