step;reactionNumber;koNumber;ecNumber;compNumber;glycanNumber
1;[R03199];[K01852];[5.4.99.7];[C01054, C01724];[]
2;[R05640];[K05917];[1.14.14.154];[C00001, C00007, C00058, C01724, C03024, C03161, C11455];[]
3;[R05639];[K00222, K19532];[1.3.1.70];[C00005, C00006, C00080, C05108, C11455];[]
4;[R07509];[K07750];[1.14.18.9];[C00001, C00007, C00080, C00996, C00999, C05108, C15808];[]
5;[R07494];[K07748];[1.1.1.170];[C00005, C00006, C00011, C00080, C15808, C15816];[]
6;[R07495];[K09827, K13373];[1.1.1.270];[C00005, C00006, C00080, C05103, C15816];[]
7;[R12403];[K07750];[1.14.18.9];[C00001, C00007, C00080, C00996, C00999, C05103, C22112];[]
8;[R12404];[K07748];[1.1.1.170];[C00005, C00006, C00011, C00080, C22112, C22136];[]
9;[R12405];[K09827, K13373];[1.1.1.270];[C00005, C00006, C00080, C05437, C22136];[]
10;[R07498];[K09828];[1.3.1.72];[C00005, C00006, C00080, C03845, C05437];[]
11;[R03353];[K01824];[5.3.3.5];[C01189, C03845];[]
12;[R07215];[K00227];[1.14.19.20];[C00001, C00007, C00080, C00996, C00999, C01164, C01189];[]
13;[R01451];[K00213];[1.3.1.21];[C00003, C00004, C00080, C00187, C01164];[]
14;[R01456];[K00213];[1.3.1.21];[C00005, C00006, C00080, C00187, C01164];[]
