step;reactionNumber;koNumber;ecNumber;compNumber;glycanNumber
1;[R04567];[K00677];[2.3.1.129];[C00043, C00229, C04688, C04738];[]
2;[R04587];[K02535, K16363];[3.5.1.108];[C00001, C00033, C04738, C06022];[]
3;[R04550];[K02536];[2.3.1.191];[C00229, C04652, C04688, C06022];[]
4;[R04549];[K03269];[3.6.1.54];[C00001, C00105, C04652, C04824];[]
5;[R04606];[K00748];[2.4.1.182];[C00015, C04652, C04824, C04932];[]
6;[R04657];[K00912];[2.7.1.130];[C00002, C00008, C04919, C04932];[]
7;[R04658];[K02527];[2.4.99.12];[C00055, C04121, C04919, C06024];[]
8;[R05074];[K02527];[2.4.99.13];[C00055, C04121, C06024, C06025];[]
9;[R05146];[K02517];[2.3.1.241];[C00229, C05223, C06025, C06251];[]
10;[R05075];[K02560];[2.3.1.243];[C00229, C05761, C06026, C06251];[]
