step;reactionNumber;koNumber;ecNumber;compNumber;glycanNumber
1;[R00742];[K01946, K01961, K01962, K01963, K01964, K02160, K11262, K11263, K15036, K15037, K18472, K18603, K18604, K18605, K19312, K22568];[6.4.1.2];[C00002, C00008, C00009, C00024, C00083, C00288];[]
2;[R00740];[K14468, K15017];[1.2.1.75];[C00005, C00006, C00010, C00080, C00083, C00222];[]
3;[R09289];[K09019, K14468, K15039, K16066, K18602];[1.1.1.298];[C00005, C00006, C00080, C00222, C01013];[]
4;[R09286];[K14469, K15018];[6.2.1.36];[C00002, C00010, C00013, C00020, C01013, C05668];[]
5;[R03045];[K01692, K01782, K01825, K07511, K07514, K07515, K14469, K14729, K15019];[4.2.1.116, 4.2.1.17];[C00001, C00894, C05668];[]
6;[R00919];[K14469, K15020, K19745];[1.3.1.84];[C00005, C00006, C00080, C00100, C00894];[]
7;[R01859];[K01964, K01965, K01966, K11263, K15036, K15037, K15052, K18472, K18603, K18604, K18605, K19312, K22568];[6.4.1.3];[C00002, C00008, C00009, C00100, C00288, C00683];[]
8;[R02765];[K05606];[5.1.99.1];[C00683, C01213];[]
9;[R00833];[K01847, K01848, K01849];[5.4.99.2];[C00091, C01213];[]
10;[R00406];[K14471, K14472];[2.8.3.22];[C00042, C00091, C00149, C04348];[]
11;[R02164];[K00234, K00235, K00236, K00237, K00239, K00240, K00241, K00242, K00244, K00245, K00246, K00247, K18859, K18860];[1.3.5.1, 1.3.5.4];[C00042, C00122, C15602, C15603];[]
12;[R01082];[K01675, K01676, K01677, K01678, K01679, K01774];[4.2.1.2];[C00001, C00122, C00149];[]
13;[R00406];[K14471, K14472];[2.8.3.22];[C00042, C00091, C00149, C04348];[]
14;[R00473];[K08691, K19282];[4.1.3.24];[C00024, C00048, C04348];[]
15;[R00934];[K08691, K19281];[4.1.3.24];[C00048, C00100, C06027];[]
16;[R05076];[K14449];[4.2.1.148];[C00001, C06027, C06028];[]
17;[R09283];[K14470];[5.4.1.3];[C06028, C18323];[]
18;[R09282];[K09709];[4.2.1.153];[C00001, C01011, C18323];[]
19;[R00237];[K08691, K18292];[4.1.3.25];[C00022, C00024, C01011];[]
