step;reactionNumber;koNumber;ecNumber;compNumber;glycanNumber
1;[R00431];[K01596];[4.1.1.32];[C00011, C00035, C00036, C00044, C00074];[]
2;[R00726];[K01596];[4.1.1.32];[C00011, C00036, C00074, C00081, C00104];[]
3;[R00341];[K01610];[4.1.1.49];[C00002, C00008, C00011, C00036, C00074];[]
4;[R00658];[K01689];[4.2.1.11];[C00001, C00074, C00631];[]
5;[R01518];[K01834, K01837, K15633, K15634, K15635];[5.4.2.11, 5.4.2.12];[C00197, C00631];[]
6;[R01512];[K00927];[2.7.2.3];[C00002, C00008, C00197, C00236];[]
7;[R01061];[K00134, K00150, K10705];[1.2.1.12, 1.2.1.59];[C00003, C00004, C00009, C00080, C00118, C00236];[]
8;[R01063];[K00150, K05298];[1.2.1.13, 1.2.1.59];[C00005, C00006, C00009, C00080, C00118, C00236];[]
9;[R01015];[K01803];[5.3.1.1];[C00111, C00118];[]
10;[R01070];[K01622, K01623, K01624, K11645, K16305, K16306];[4.1.2.13];[C00111, C00118, C05378];[]
11;[R04780];[K01086, K01622, K02446, K03841, K04041, K11532];[3.1.3.11];[C00001, C00009, C05345, C05378];[]
