step;reactionNumber;koNumber;ecNumber;compNumber;glycanNumber
1;[R01196];[K00169, K00170, K00171, K00172, K00174, K00175, K00189, K03737];[1.2.7.1, 1.2.7.11];[C00010, C00011, C00022, C00024, C00080, C00138, C00139];[]
2;[R10866];[K03737];[];[C00010, C00011, C00022, C00024, C02745, C02869];[]
3;[R00199];[K01007];[2.7.9.2];[C00001, C00002, C00009, C00020, C00022, C00074];[]
4;[R00206];[K01006];[2.7.9.1];[C00002, C00009, C00013, C00020, C00022, C00074];[]
5;[R00345];[K01595];[4.1.1.31];[C00001, C00009, C00011, C00036, C00074];[]
6;[R00344];[K01958, K01959, K01960];[6.4.1.1];[C00002, C00008, C00009, C00022, C00036, C00288];[]
7;[R00342];[K00024, K00025, K00026];[1.1.1.299, 1.1.1.37];[C00003, C00004, C00036, C00080, C00149];[]
8;[R01082];[K01675, K01676, K01677, K01678, K01679, K01774];[4.2.1.2];[C00001, C00122, C00149];[]
9;[R02164];[K00234, K00235, K00236, K00237, K00239, K00240, K00241, K00242, K00244, K00245, K00246, K00247, K18859, K18860];[1.3.5.1, 1.3.5.4];[C00042, C00122, C15602, C15603];[]
10;[R00402];[K18556, K18557, K18558, K18559, K18560];[1.3.1.6];[C00003, C00004, C00042, C00080, C00122];[]
11;[R00405];[K01902, K01903];[6.2.1.5];[C00002, C00008, C00009, C00010, C00042, C00091];[]
12;[R01197];[K00174, K00175, K00176, K00177];[1.2.7.11, 1.2.7.3];[C00010, C00011, C00026, C00080, C00091, C00138, C00139];[]
13;[R00267];[K00031];[1.1.1.42];[C00005, C00006, C00011, C00026, C00080, C00311];[]
14;[R01900];[K01681, K01682];[4.2.1.3];[C00001, C00311, C00417];[]
15;[R01325];[K01681, K01682];[4.2.1.3];[C00001, C00158, C00417];[]
16;[R00352];[K01648, K15230, K15231];[2.3.3.8];[C00002, C00008, C00009, C00010, C00024, C00036, C00158];[]
17;[R01322];[K15232, K15233];[6.2.1.18];[C00002, C00008, C00009, C00010, C00158, C00566];[]
18;[R00354];[K15234];[4.1.3.34];[C00024, C00036, C00566];[]
