step;reactionNumber;koNumber;ecNumber;compNumber;glycanNumber
1;[R00351];[K01647, K05942];[2.3.3.1, 2.3.3.16, 2.3.3.3];[C00001, C00010, C00024, C00036, C00158];[]
2;[R01325];[K01681, K01682];[4.2.1.3];[C00001, C00158, C00417];[]
3;[R01900];[K01681, K01682];[4.2.1.3];[C00001, C00311, C00417];[]
4;[R01899];[K00031];[1.1.1.42];[C00005, C00006, C00080, C00311, C05379];[]
5;[R00268];[K00031];[1.1.1.42];[C00011, C00026, C05379];[]
6;[R00248];[K00261, K00262, K00265, K00266];[1.4.1.13, 1.4.1.3, 1.4.1.4];[C00001, C00005, C00006, C00014, C00025, C00026, C00080];[]
7;[R00262];[K01846, K19268];[5.4.99.1];[C00025, C03618];[]
8;[R03696];[K04835];[4.3.1.2];[C00014, C01732, C03618];[]
9;[R10904];[K19280];[2.8.3.26];[C00042, C00091, C01732, C06028];[]
10;[R05076];[K14449];[4.2.1.148];[C00001, C06027, C06028];[]
11;[R00934];[K08691, K19281];[4.1.3.24];[C00048, C00100, C06027];[]
12;[R00473];[K08691, K19282];[4.1.3.24];[C00024, C00048, C04348];[]
13;[R10612];[K14451, K19282];[3.1.2.30];[C00001, C00010, C00149, C04348];[]
14;[R00342];[K00024, K00025, K00026];[1.1.1.299, 1.1.1.37];[C00003, C00004, C00036, C00080, C00149];[]
