step;reactionNumber;koNumber;ecNumber;compNumber;glycanNumber
1;[R00238];[K00626, K00632, K07508, K07509, K07513];[2.3.1.16, 2.3.1.9];[C00010, C00024, C00332];[]
2;[R01978];[K01641];[2.3.3.10];[C00001, C00010, C00024, C00332, C00356];[]
3;[R02082];[K00021];[1.1.1.34];[C00005, C00006, C00010, C00080, C00356, C00418];[]
4;[R02081];[K00054];[1.1.1.88];[C00003, C00004, C00010, C00080, C00356, C00418];[]
5;[R02245];[K00869];[2.7.1.36];[C00002, C00008, C00418, C01107];[]
6;[R10561];[K17942];[4.1.1.99];[C00002, C00008, C00009, C00011, C01107, C20345];[]
7;[R10779];[K18689];[2.7.1.185];[C00002, C00008, C00418, C20847];[]
8;[R10780];[K18690];[2.7.1.186];[C00002, C00008, C20847, C20848];[]
9;[R10781];[K22813];[4.1.1.110];[C00009, C00011, C20345, C20848];[]
10;[R10093];[K06981];[2.7.4.26];[C00002, C00008, C00129, C20345];[]
11;[R01123];[K01823];[5.3.3.2];[C00129, C00235];[]
