step;reactionNumber;koNumber;ecNumber;compNumber;glycanNumber
1;[R01071];[K00765, K02502];[2.4.2.17];[C00002, C00013, C00119, C02739];[]
2;[R04035];[K01523, K11755, K14152];[3.6.1.31];[C00001, C00013, C02739, C02741];[]
3;[R04037];[K01496, K11755, K14152];[3.5.4.19];[C00001, C02741, C04896];[]
4;[R04640];[K01814, K24017];[5.3.1.16];[C04896, C04916];[]
5;[R04558];[K01663, K02500, K02501];[4.3.2.10];[C00025, C00064, C04666, C04677, C04916];[]
6;[R03457];[K01089, K01693];[4.2.1.19];[C00001, C01267, C04666];[]
7;[R03243];[K00817];[2.6.1.9];[C00025, C00026, C01100, C01267];[]
8;[R03013];[K01089, K04486, K05602, K18649];[3.1.3.15];[C00001, C00009, C00860, C01100];[]
9;[R03012];[K00013, K14152];[1.1.1.23];[C00003, C00004, C00080, C00860, C01929];[]
10;[R01163];[K00013, K14152];[1.1.1.23];[C00001, C00003, C00004, C00080, C00135, C01929];[]
