step;reactionNumber;koNumber;ecNumber;compNumber;glycanNumber
1;[R07620];[K00728];[2.4.1.109];[C02189];[G10617, G10622, G13027]
2;[R11407];[K18207];[2.4.1.312];[];[G10610, G10619, G13027, G13087]
3;[R12292];[K09654];[2.4.1.313];[];[G10611, G10619, G13087, G13091]
4;[R12293];[K17547];[2.7.1.183];[C00002];[G11113, G13091, G13092]
5;[R02921];[K21030, K21031, K21681];[2.7.7.40];[C00013, C00063, C00789, C01068];[]
6;[R12294];[K19872];[];[C00789];[G10621, G13092, G13093]
7;[R12295];[K19873];[];[C00789];[G10621, G13093, G13094]
8;[R12244];[K21052];[2.4.2.61];[];[G10613, G10619, G13094, G13095]
9;[R12296];[K21032];[];[];[G10612, G10619, G13095, G13096]
10;[R12297];[K09668];[];[];[G10613, G10619, G13096, G13097]
11;[R12298];[K09668];[];[];[G10612, G10619, G13097, G13098]
