step;reactionNumber;koNumber;ecNumber;compNumber;glycanNumber
1;[R00286];[K00012];[1.1.1.22];[C00001, C00003, C00004, C00029, C00080, C00167];[]
2;[R01381];[K12447];[2.7.7.44, 2.7.7.64];[C00013, C00075, C00167, C05385];[]
3;[R01476];[K16190];[2.7.1.43];[C00002, C00008, C00191, C05385];[]
4;[R01383];[K00699];[2.4.1.17];[C00015, C00167, C01335, C03033];[]
5;[R01478];[K01195, K14756];[3.2.1.31];[C00001, C00069, C00191, C03033];[]
6;[R01481];[K00002];[1.1.1.19, 1.1.1.2];[C00005, C00006, C00080, C00191, C00800];[]
7;[R02640];[K13247];[1.1.1.45];[C00003, C00004, C00080, C00618, C00800];[]
8;[R01905];[];[4.1.1.34];[C00011, C00312, C00618];[]
9;[R01904];[K03331];[1.1.1.10];[C00005, C00006, C00080, C00312, C00379];[]
10;[R01896];[K00008, K05351];[1.1.1.14, 1.1.1.9];[C00003, C00004, C00080, C00310, C00379];[]
11;[R01639];[K00854];[2.7.1.17];[C00002, C00008, C00231, C00310];[]
