step;reactionNumber;koNumber;ecNumber;compNumber;glycanNumber
1;[R01072];[K00764];[2.4.2.14];[C00001, C00013, C00025, C00064, C00119, C03090];[]
2;[R04144];[K01945, K11787, K11788, K13713];[6.3.4.13];[C00002, C00008, C00009, C00037, C03090, C03838];[]
3;[R04325];[K00601, K01492, K08289, K11175, K11787];[2.1.2.2];[C00101, C00234, C03838, C04376];[]
4;[R04463];[K01952, K23264, K23265, K23269, K23270];[6.3.5.3];[C00001, C00002, C00008, C00009, C00025, C00064, C04376, C04640];[]
5;[R04208];[K01933, K11787, K11788];[6.3.3.1];[C00002, C00008, C00009, C03373, C04640];[]
6;[R04209];[K01587, K11808];[4.1.1.21];[C00011, C03373, C04751];[]
7;[R07404];[K01589];[6.3.4.18];[C00002, C00008, C00009, C00288, C03373, C15667];[]
8;[R07405];[K01588];[5.4.99.18];[C04751, C15667];[]
9;[R04591];[K01587, K01923, K13713];[6.3.2.6];[C00002, C00008, C00009, C00049, C04751, C04823];[]
10;[R04559];[K01756];[4.3.2.2];[C00122, C04677, C04823];[]
11;[R04560];[K00602, K01492];[2.1.2.3];[C00101, C00234, C04677, C04734];[]
12;[R06975];[K06863];[6.3.4.23];[C00002, C00008, C00009, C00058, C04677, C04734];[]
13;[R01127];[K00602, K11176];[3.5.4.10];[C00001, C00130, C04734];[]
