step;reactionNumber;koNumber;ecNumber;compNumber;glycanNumber
1;[R03140];[K01601, K01602];[4.1.1.39];[C00007, C00197, C00988, C01182];[]
2;[R01334];[K01091, K19269, K22223];[3.1.3.18];[C00001, C00009, C00160, C00988];[]
3;[R00475];[K00104, K11472, K11473, K11517];[1.1.3.15];[C00007, C00027, C00048, C00160];[]
4;[R00009];[K03781];[1.11.1.21, 1.11.1.6];[C00001, C00007, C00027];[]
5;[R00372];[K00827, K00830, K14272];[2.6.1.4, 2.6.1.44];[C00025, C00026, C00037, C00048];[]
6;[R00945];[K00600];[2.1.2.1];[C00001, C00037, C00065, C00101, C00143];[]
7;[R00588];[K00830];[2.6.1.45];[C00037, C00048, C00065, C00168];[]
8;[R01388];[K00015, K00018, K00049, K00050, K00090, K12972, K15893, K15919, K22982];[1.1.1.26, 1.1.1.29, 1.1.1.81];[C00003, C00004, C00080, C00168, C00258];[]
9;[R01514];[K15918];[2.7.1.31];[C00002, C00008, C00197, C00258];[]
10;[R01221];[K00281, K00282, K00283, K00382, K00605, K02437];[1.4.4.2, 1.8.1.4, 2.1.2.10];[C00003, C00004, C00011, C00014, C00037, C00080, C00101, C00143];[]
