step;reactionNumber;koNumber;ecNumber;compNumber;glycanNumber
1;[R00816];[K00446, K07104];[1.13.11.2];[C00007, C00090, C00682];[]
2;[R02762];[K10217];[1.2.1.85];[C00001, C00003, C00004, C00080, C00682, C02501];[]
3;[R03966];[K01821];[5.3.2.6];[C02501, C03453];[]
4;[R02602];[K01617];[4.1.1.77];[C00011, C00596, C03453];[]
5;[R02604];[K10216];[3.7.1.9];[C00001, C00058, C00596, C00682];[]
6;[R02601];[K02554, K18364];[4.2.1.80];[C00001, C00596, C03589];[]
7;[R00750];[K01666, K18365];[4.1.3.39];[C00022, C00084, C03589];[]
8;[R00228];[K00132, K04021, K04072, K04073, K18366];[1.2.1.10];[C00003, C00004, C00010, C00024, C00080, C00084];[]
9;[R05295];[K00446, K07104];[1.13.11.2];[C00007, C06730, C06760];[]
10;[R05353];[K10217];[1.2.1.85];[C00001, C00003, C00004, C00080, C06760, C07478];[]
11;[R05389];[K01821];[5.3.2.6];[C07478, C07479];[]
12;[R05374];[K01617];[4.1.1.77];[C00011, C07479, C11354];[]
13;[R05865];[K10216];[3.7.1.9];[C00001, C00058, C06760, C11354];[]
14;[R05864];[K18364];[4.2.1.132];[C00001, C06762, C11354];[]
15;[R05298];[K18365];[4.1.3.43];[C00022, C00479, C06762];[]
16;[R09097];[K13922, K18366];[1.2.1.87];[C00003, C00004, C00010, C00080, C00100, C00479];[]
