step;reactionNumber;koNumber;ecNumber;compNumber;glycanNumber
1;[R00271];[K01655, K02594, K10977];[2.3.3.14];[C00001, C00010, C00024, C00026, C01251];[]
2;[R03444];[K16792, K16793, K17450];[4.2.1.114];[C00001, C01251, C04002];[]
3;[R04371];[K01705, K16792, K16793];[4.2.1.114, 4.2.1.36];[C00001, C04002, C05662];[]
4;[R01934];[K05824, K10978, K17753];[1.1.1.286, 1.1.1.87];[C00003, C00004, C00011, C00080, C00322, C05662];[]
5;[R01939];[K00825, K00838, K05825];[2.6.1.39];[C00025, C00026, C00322, C00956];[]
6;[R03098];[K00143];[1.2.1.95];[C00002, C00013, C00956, C05560];[]
7;[R04863];[K00143];[1.2.1.95];[C00020, C05535, C05560, C11482];[]
8;[R04390];[K00143];[1.2.1.95];[C00005, C00006, C00080, C04076, C05535, C11482];[]
9;[R02315];[K00293, K24034];[1.5.1.10];[C00001, C00005, C00006, C00025, C00080, C00449, C04076];[]
10;[R00715];[K00290];[1.5.1.7];[C00001, C00003, C00004, C00026, C00047, C00080, C00449];[]
