step;reactionNumber;koNumber;ecNumber;compNumber;glycanNumber
1;[R09543];[K02169];[2.1.1.197];[C00019, C00021, C01209, C19673];[]
2;[R10115];[K00647, K09458];[2.3.1.179, 2.3.1.41];[C00011, C00229, C01209, C19673, C20372];[]
3;[R10116];[K00059];[1.1.1.100];[C00005, C00006, C00080, C20372, C20373];[]
4;[R10117];[K02372];[4.2.1.59];[C00001, C20373, C20374];[]
5;[R10118];[K00208];[1.3.1.10];[C00005, C00006, C00080, C20374, C20375];[]
6;[R10119];[K00647, K09458];[2.3.1.179, 2.3.1.41];[C00011, C00229, C01209, C20375, C20376];[]
7;[R10120];[K00059];[1.1.1.100];[C00005, C00006, C00080, C20376, C20377];[]
8;[R10121];[K02372];[4.2.1.59];[C00001, C20377, C20378];[]
9;[R10122];[K00208];[1.3.1.10];[C00005, C00006, C00080, C19846, C20378];[]
10;[R09725];[K02170, K09789, K19560, K19561];[3.1.1.85];[C00001, C00132, C19845, C19846];[]
