step;reactionNumber;koNumber;ecNumber;compNumber;glycanNumber
1;[R00226];[K01652, K01653, K11258];[2.2.1.6];[C00011, C00022, C06010];[]
2;[R05071];[K00053];[1.1.1.86, 5.4.99.3];[C04181, C06010];[]
3;[R04440];[K00053];[1.1.1.86];[C00005, C00006, C00080, C04181, C04272];[]
4;[R04439];[K00053];[1.1.1.383, 1.1.1.86];[C00005, C00006, C00080, C04272, C06010];[]
5;[R04441];[K01687];[4.2.1.9];[C00001, C00141, C04272];[]
6;[R01214];[K00826];[2.6.1.42, 2.6.1.6];[C00025, C00026, C00141, C00183];[]
7;[R08648];[K01652, K01653, K11258];[2.2.1.6];[C00011, C00022, C00109, C06006];[]
8;[R05069];[K00053];[1.1.1.86, 5.4.99.3];[C06006, C14463];[]
9;[R05068];[K00053];[1.1.1.86];[C00005, C00006, C00080, C06007, C14463];[]
10;[R05070];[K01687];[4.2.1.9];[C00001, C00671, C06007];[]
11;[R02199];[K00826];[2.6.1.42];[C00025, C00026, C00407, C00671];[]
