step;reactionNumber;koNumber;ecNumber;compNumber;glycanNumber
1;[R03015];[K00200, K00201, K00202, K00203, K00204, K00205, K11260, K11261];[1.2.7.12];[C00001, C00011, C00080, C00138, C00139, C00862, C01001];[]
2;[R03390];[K00672];[2.3.1.101];[C00862, C01001, C01217, C01274];[]
3;[R03464];[K01499];[3.5.4.27];[C00001, C00080, C01274, C04330];[]
4;[R04456];[K00319];[1.5.98.1];[C00080, C00876, C01080, C04330, C04377];[]
5;[R04455];[K13942];[1.12.98.2];[C00080, C00282, C04330, C04377];[]
6;[R04464];[K00320];[1.5.98.2];[C00876, C01080, C04377, C04488];[]
7;[R04347];[K00577, K00578, K00579, K00580, K00581, K00582, K00583, K00584];[2.1.1.86];[C01217, C01330, C01330, C03576, C03920, C04488];[]
8;[R04541];[K00399, K00401, K00402];[2.8.4.1];[C01438, C03920, C04628, C04832];[]
9;[R11931];[K03388, K03389, K03390, K22480, K22481, K22482];[1.8.7.3];[C00080, C00138, C00139, C03576, C04628, C04832];[]
10;[R04540];[K08264, K08265];[1.8.98.1];[C03576, C04628, C04832, C11903, C11904];[]
11;[R11928];[K03388, K03389, K03390];[1.8.98.4];[C00080, C00138, C00139, C00876, C01080, C03576, C04628, C04832];[]
12;[R11943];[K03388, K03389, K03390, K14126, K14127, K14128];[1.8.98.5];[C00080, C00138, C00139, C00282, C03576, C04628, C04832];[]
13;[R11944];[K00125, K03388, K03389, K03390, K14127, K22516];[1.8.98.6];[C00011, C00058, C00080, C00138, C00139, C03576, C04628, C04832];[]
