step;reactionNumber;koNumber;ecNumber;compNumber;glycanNumber
1;[R01786];[K00844, K00845, K12407];[2.7.1.1, 2.7.1.2];[C00002, C00008, C00267, C00668];[]
2;[R02189];[K00886];[2.7.1.63];[C00267, C00404, C00404, C00668];[]
3;[R09085];[K00918, K08074];[2.7.1.147];[C00008, C00020, C00267, C00668];[]
4;[R02740];[K01810, K06859, K13810, K15916];[5.3.1.9];[C00668, C05345];[]
5;[R04779];[K00850, K16370, K21071];[2.7.1.11];[C00002, C00008, C05345, C05378];[]
6;[R09084];[K00918];[2.7.1.146];[C00008, C00020, C05345, C05378];[]
7;[R01070];[K01622, K01623, K01624, K11645, K16305, K16306];[4.1.2.13];[C00111, C00118, C05378];[]
8;[R01015];[K01803];[5.3.1.1];[C00111, C00118];[]
9;[R01061];[K00134, K00150, K10705];[1.2.1.12, 1.2.1.59];[C00003, C00004, C00009, C00080, C00118, C00236];[]
10;[R01063];[K00150, K05298];[1.2.1.13, 1.2.1.59];[C00005, C00006, C00009, C00080, C00118, C00236];[]
11;[R01512];[K00927];[2.7.2.3];[C00002, C00008, C00197, C00236];[]
12;[R07159];[K11389];[1.2.7.6];[C00001, C00080, C00118, C00138, C00139, C00197];[]
13;[R01518];[K01834, K01837, K15633, K15634, K15635];[5.4.2.11, 5.4.2.12];[C00197, C00631];[]
14;[R00658];[K01689];[4.2.1.11];[C00001, C00074, C00631];[]
15;[R00200];[K00873, K12406];[2.7.1.40];[C00002, C00008, C00022, C00074];[]
