step;reactionNumber;koNumber;ecNumber;compNumber;glycanNumber
1;[R06746];[K12719, K12720, K21780, K21781];[6.2.1.53];[C00002, C00013, C00020, C00148, C12470, C21097];[]
2;[R06747];[K12721, K21782];[1.3.8.14];[C04253, C04570, C12470, C12483];[]
3;[R11665];[K21783];[];[C00229, C12483, C21097, C21567];[]
4;[R11667];[K21784];[];[C00001, C00010, C00011, C00065, C00083, C00229, C21567, C21568];[]
5;[R11668];[K21785];[];[C00005, C00006, C00080, C21568, C21569];[]
6;[R11669];[K21785];[];[C00003, C00004, C00080, C21568, C21569];[]
7;[R11670];[K21786];[];[C00019, C00021, C21569, C21570];[]
8;[R04014];[K01071, K10781, K21791];[3.1.2.14, 3.1.2.21];[C00001, C00229, C02679, C05223];[]
9;[R11664];[K21792];[];[C00001, C00010, C00011, C00037, C00083, C02679, C21573];[]
10;[R11663];[K21793];[];[C00001, C00005, C00006, C00080, C21573, C21574];[]
11;[R11666];[K21793];[];[C00001, C00003, C00004, C00080, C21573, C21574];[]
12;[R11673];[K21787];[];[C00002, C00008, C00009, C12023, C21570, C21574];[]
