step;reactionNumber;koNumber;ecNumber;compNumber;glycanNumber
1;[R01523];[K00855];[2.7.1.19];[C00002, C00008, C00199, C01182];[]
2;[R00024];[K01601, K01602];[4.1.1.39];[C00001, C00011, C00197, C01182];[]
3;[R01512];[K00927];[2.7.2.3];[C00002, C00008, C00197, C00236];[]
4;[R01061];[K00134, K00150, K10705];[1.2.1.12, 1.2.1.59];[C00003, C00004, C00009, C00080, C00118, C00236];[]
5;[R01063];[K00150, K05298];[1.2.1.13, 1.2.1.59];[C00005, C00006, C00009, C00080, C00118, C00236];[]
6;[R01068];[K01622, K01623, K01624, K11645, K16305, K16306];[4.1.2.13];[C00111, C00118, C00354];[]
7;[R00762];[K01086, K01622, K02446, K03841, K04041, K11532];[3.1.3.11];[C00001, C00009, C00085, C00354];[]
8;[R01067];[K00615];[2.2.1.1];[C00085, C00118, C00231, C00279];[]
9;[R01829];[K01623, K01624, K11645];[4.1.2.13];[C00111, C00279, C00447];[]
10;[R01845];[K01086, K01100, K11532];[3.1.3.11, 3.1.3.37];[C00001, C00009, C00447, C05382];[]
11;[R01641];[K00615];[2.2.1.1];[C00117, C00118, C00231, C05382];[]
12;[R01056];[K01807, K01808];[5.3.1.6];[C00117, C00199];[]
