step;reactionNumber;koNumber;ecNumber;compNumber;glycanNumber
1;[R05969];[K01001];[2.7.8.15];[C00043, C00105, C00110];[G00001]
2;[R05970];[K07432, K07441];[2.4.1.141];[];[G00001, G00002, G10610, G10619]
3;[R05972];[K03842];[2.4.1.142];[];[G00002, G00003, G10614, G10620]
4;[R05973];[K03843];[2.4.1.132];[];[G00003, G00004, G10614, G10620]
5;[R06238];[K03843];[2.4.1.257];[];[G00004, G00005, G10614, G10620]
6;[R06127];[K03844];[2.4.1.131];[];[G00005, G10526, G10614, G10620]
7;[R06128];[K03844];[2.4.1.131];[];[G00006, G10526, G10614, G10620]
8;[R06258];[K03845];[2.4.1.258];[];[G00006, G10595, G10617, G10622]
9;[R06259];[K03846];[2.4.1.259];[];[G10595, G10596, G10617, G10622]
10;[R06260];[K03847];[2.4.1.260];[];[G10596, G10597, G10617, G10622]
11;[R06261];[K03846];[2.4.1.261];[];[G00007, G10597, G10617, G10622]
12;[R01005];[K00729];[2.4.1.117];[C00015, C00029, C00110, C01246];[]
13;[R06262];[K03848];[2.4.1.267];[];[G00007, G10598, G10618, G10622]
14;[R06263];[K03849];[2.4.1.265];[];[G10598, G10599, G10618, G10622]
15;[R06264];[K03850];[2.4.1.256];[];[G00008, G10599, G10618, G10622]
