step;reactionNumber;koNumber;ecNumber;compNumber;glycanNumber
1;[R01196];[K00169, K00170, K00171, K00172, K00174, K00175, K00189, K03737];[1.2.7.1, 1.2.7.11];[C00010, C00011, C00022, C00024, C00080, C00138, C00139];[]
2;[R00199];[K01007];[2.7.9.2];[C00001, C00002, C00009, C00020, C00022, C00074];[]
3;[R00345];[K01595];[4.1.1.31];[C00001, C00009, C00011, C00036, C00074];[]
4;[R00342];[K00024, K00025, K00026];[1.1.1.299, 1.1.1.37];[C00003, C00004, C00036, C00080, C00149];[]
5;[R01082];[K01675, K01676, K01677, K01678, K01679, K01774];[4.2.1.2];[C00001, C00122, C00149];[]
6;[R02164];[K00234, K00235, K00236, K00237, K00239, K00240, K00241, K00242, K00244, K00245, K00246, K00247, K18859, K18860];[1.3.5.1, 1.3.5.4];[C00042, C00122, C15602, C15603];[]
7;[R00405];[K01902, K01903];[6.2.1.5];[C00002, C00008, C00009, C00010, C00042, C00091];[]
8;[R09280];[K15017, K15038, K18119];[1.2.1.76];[C00005, C00006, C00010, C00080, C00091, C00232];[]
9;[R09281];[K14465, K18121];[];[C00005, C00006, C00080, C00232, C00989];[]
10;[R09279];[K14466, K14467, K18861];[6.2.1.40];[C00002, C00010, C00013, C00020, C00989, C11062];[]
11;[R10782];[K14534];[4.2.1.120];[C00001, C00877, C11062];[]
12;[R03026];[K01692, K01715, K01782, K01825, K07511, K07514, K07515, K10527, K13767, K15016];[4.2.1.17];[C00001, C00877, C01144];[]
13;[R01975];[K00022, K01782, K01825, K07514, K07516, K10527, K15016];[1.1.1.35];[C00003, C00004, C00080, C00332, C01144];[]
14;[R00238];[K00626, K00632, K07508, K07509, K07513];[2.3.1.16, 2.3.1.9];[C00010, C00024, C00332];[]
