step;reactionNumber;koNumber;ecNumber;compNumber;glycanNumber
1;[R05263];[K08689, K15750, K18087, K18088];[1.14.12.18];[C00003, C00004, C00007, C00080, C06588, C06589];[]
2;[R05264];[K08689, K15750, K18087, K18088];[1.14.12.18];[C00005, C00006, C00007, C00080, C06588, C06589];[]
3;[R05239];[K08690];[1.3.1.56];[C00003, C00004, C00080, C02526, C06589];[]
4;[R03462];[K00462];[1.13.11.39];[C00007, C01273, C02526];[]
5;[R02606];[K10222];[3.7.1.8];[C00001, C00180, C00596, C01273];[]
6;[R05261];[K08689, K15750, K18087, K18088];[1.14.12.18];[C00003, C00004, C00007, C00080, C06584, C06585];[]
7;[R05262];[K08689, K15750, K18087, K18088];[1.14.12.18];[C00005, C00006, C00007, C00080, C06584, C06585];[]
8;[R05241];[K08690];[1.3.1.56];[C00003, C00004, C00080, C06585, C06586];[]
9;[R05245];[K00462];[1.13.11.39];[C00007, C06586, C06587];[]
10;[R05359];[K10222];[3.7.1.8];[C00001, C00596, C02370, C06587];[]
