step;reactionNumber;koNumber;ecNumber;compNumber;glycanNumber
1;[R00238];[K00626, K00632, K07508, K07509, K07513];[2.3.1.16, 2.3.1.9];[C00010, C00024, C00332];[]
2;[R01977];[K00023];[1.1.1.36];[C00005, C00006, C00080, C00332, C03561];[]
3;[R03027];[K17865];[4.2.1.55];[C00001, C00877, C03561];[]
4;[R09291];[K14446];[1.3.1.85];[C00005, C00006, C00011, C00080, C00877, C18026];[]
5;[R09979];[K05606];[5.1.99.1];[C18026, C20238];[]
6;[R09292];[K14447];[5.4.99.63];[C18324, C20238];[]
7;[R09293];[K14448];[1.3.8.12];[C04253, C04570, C06028, C18324];[]
8;[R05076];[K14449];[4.2.1.148];[C00001, C06027, C06028];[]
9;[R00934];[K08691, K19281];[4.1.3.24];[C00048, C00100, C06027];[]
10;[R00473];[K08691, K19282];[4.1.3.24];[C00024, C00048, C04348];[]
11;[R10612];[K14451, K19282];[3.1.2.30];[C00001, C00010, C00149, C04348];[]
12;[R01859];[K01964, K01965, K01966, K11263, K15036, K15037, K15052, K18472, K18603, K18604, K18605, K19312, K22568];[6.4.1.3];[C00002, C00008, C00009, C00100, C00288, C00683];[]
13;[R02765];[K05606];[5.1.99.1];[C00683, C01213];[]
14;[R00833];[K01847, K01848, K01849];[5.4.99.2];[C00091, C01213];[]
