step;reactionNumber;koNumber;ecNumber;compNumber;glycanNumber
1;[R00271];[K01655, K02594, K10977];[2.3.3.14];[C00001, C00010, C00024, C00026, C01251];[]
2;[R03444];[K16792, K16793, K17450];[4.2.1.114];[C00001, C01251, C04002];[]
3;[R04371];[K01705, K16792, K16793];[4.2.1.114, 4.2.1.36];[C00001, C04002, C05662];[]
4;[R09720];[K16792, K16793];[4.2.1.114];[C01251, C05662];[]
5;[R01934];[K05824, K10978, K17753];[1.1.1.286, 1.1.1.87];[C00003, C00004, C00011, C00080, C00322, C05662];[]
6;[R08331];[K10977];[];[C00001, C00010, C00024, C00322, C16583];[]
7;[R10392];[K16792, K16793];[4.2.1.114];[C00001, C16583, C20581];[]
8;[R10393];[K16792, K16793];[4.2.1.114];[C00001, C16597, C20581];[]
9;[R10391];[K16792, K16793];[4.2.1.114];[C16583, C16597];[]
10;[R08214];[K10978];[];[C00003, C00004, C00011, C00080, C16588, C16597];[]
11;[R08332];[K10977];[];[C00001, C00010, C00024, C16588, C16598];[]
12;[R10395];[K16792, K16793];[4.2.1.114];[C00001, C16598, C20582];[]
13;[R10396];[K16792, K16793];[4.2.1.114];[C00001, C16600, C20582];[]
14;[R10394];[K16792, K16793];[4.2.1.114];[C16598, C16600];[]
15;[R08215];[K10978];[];[C00003, C00004, C00011, C00080, C16589, C16600];[]
