step;reactionNumber;koNumber;ecNumber;compNumber;glycanNumber
1;[R00621];[K00164];[1.2.4.2];[C00011, C00026, C00068, C05381];[]
2;[R03316];[K00164];[1.2.4.2];[C00068, C05381, C15972, C16254];[]
3;[R02570];[K00658];[2.3.1.61];[C00010, C00091, C15973, C16254];[]
4;[R07618];[K00382];[1.8.1.4];[C00003, C00004, C00080, C15972, C15973];[]
5;[R01197];[K00174, K00175, K00176, K00177];[1.2.7.11, 1.2.7.3];[C00010, C00011, C00026, C00080, C00091, C00138, C00139];[]
6;[R00405];[K01902, K01903];[6.2.1.5];[C00002, C00008, C00009, C00010, C00042, C00091];[]
7;[R00432];[K01899, K01900];[6.2.1.4];[C00009, C00010, C00035, C00042, C00044, C00091];[]
8;[R00727];[K01899, K01900];[6.2.1.4];[C00009, C00010, C00042, C00081, C00091, C00104];[]
9;[R10343];[K18118];[2.8.3.18];[C00024, C00033, C00042, C00091];[]
10;[R02164];[K00234, K00235, K00236, K00237, K00239, K00240, K00241, K00242, K00244, K00245, K00246, K00247, K18859, K18860];[1.3.5.1, 1.3.5.4];[C00042, C00122, C15602, C15603];[]
11;[R01082];[K01675, K01676, K01677, K01678, K01679, K01774];[4.2.1.2];[C00001, C00122, C00149];[]
12;[R00342];[K00024, K00025, K00026];[1.1.1.299, 1.1.1.37];[C00003, C00004, C00036, C00080, C00149];[]
13;[R00361];[K00116];[1.1.5.4];[C00036, C00149, C15602, C15603];[]
