step;reactionNumber;koNumber;ecNumber;compNumber;glycanNumber
1;[R02736];[K00036, K13937];[1.1.1.363, 1.1.1.49];[C00005, C00006, C00080, C01172, C01236];[]
2;[R10907];[K00036, K19243];[1.1.1.363, 1.1.1.388];[C00003, C00004, C00080, C01172, C01236];[]
3;[R02035];[K01057, K07404, K13937];[3.1.1.31];[C00001, C00345, C01236];[]
4;[R01528];[K00033];[1.1.1.351, 1.1.1.44];[C00005, C00006, C00011, C00080, C00199, C00345];[]
5;[R10221];[K00033];[1.1.1.343, 1.1.1.351];[C00003, C00004, C00011, C00080, C00199, C00345];[]
6;[R01529];[K01783];[5.1.3.1];[C00199, C00231];[]
7;[R01056];[K01807, K01808];[5.3.1.6];[C00117, C00199];[]
8;[R01641];[K00615];[2.2.1.1];[C00117, C00118, C00231, C05382];[]
9;[R01827];[K00616, K13810];[2.2.1.2];[C00118, C00279, C05345, C05382];[]
10;[R01830];[K00615];[2.2.1.1];[C00118, C00231, C00279, C05345];[]
11;[R02740];[K01810, K06859, K13810, K15916];[5.3.1.9];[C00668, C05345];[]
12;[R02739];[K01792, K01810, K06859, K13810, K15916];[5.1.3.15, 5.3.1.9];[C00668, C01172];[]
