step;reactionNumber;koNumber;ecNumber;compNumber;glycanNumber
1;[R00982];[K08295, K09460, K18000];[6.2.1.32];[C00002, C00010, C00013, C00020, C00108, C02247];[]
2;[R12049];[K02078, K14245, K14246, K22798];[];[C00010, C00011, C00083, C02247, C21873];[]
3;[R12050];[K22799];[];[C00013, C00448, C10641, C21873];[]
4;[R12051];[K22800];[];[C00001, C00005, C00006, C00007, C00080, C10641, C21330];[]
5;[R11382];[K21272];[1.14.13.222];[C00001, C00003, C00004, C00007, C00080, C21141, C21330];[]
6;[R11383];[K21272];[1.14.13.222];[C00001, C00005, C00006, C00007, C00080, C21141, C21330];[]
7;[R11149];[K21271];[1.1.1.394];[C00001, C00003, C00004, C00080, C21140, C21141];[]
8;[R12052];[K22801];[];[C00001, C00005, C00006, C00007, C00080, C21140, C21874];[]
9;[R12053];[K22801];[];[C00001, C00003, C00004, C00007, C00080, C21140, C21874];[]
10;[R12054];[K22802];[];[C21874, C21875];[]
